Preferred Semantics - Average,Categoriser - Average,Grounded Semantics - Average,GroundTruth
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,0
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,1
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
3,3,3,2
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
0,0,0,3
