Preferred Semantics - Highest cardinality,Categoriser - Highest cardinality,Grounded Semantics - Highest cardinality,GroundTruth
4.0,4.0,4.0,4.0
2.5,2.5,,3.0
2.5,2.0,,4.0
3.5,3.5,,4.0
3.0,3.0,,3.0
3.0,3.0,3.0,3.0
2.0,2.0,,3.0
3.0,3.0,,2.0
3.0,3.0,,4.0
3.0,2.0,,4.0
3.0,3.0,,4.0
2.0,2.0,,3.0
4.0,4.0,,4.0
2.5,2.0,,3.0
2.0,2.0,,3.0
3.5,4.0,,4.0
4.0,4.0,4.0,4.0
3.0,2.0,,3.0
4.0,4.0,,4.0
3.0,3.0,,4.0
3.0,3.0,,4.0
4.0,4.0,4.0,4.0
1.5,1.5,,2.0
2.0,2.0,,2.0
3.0,3.0,,3.0
4.0,4.0,4.0,4.0
4.0,4.0,4.0,4.0
2.0,2.0,,2.0
4.0,4.0,,4.0
2.5,2.5,,2.0
3.0,3.0,,4.0
3.0,3.0,,3.0
2.5,3.0,,2.0
2.5,2.0,,3.0
2.0,2.0,,2.0
4.0,4.0,4.0,4.0
3.0,2.0,,4.0
3.0,2.0,,4.0
3.0,2.0,,4.0
4.0,4.0,,4.0
3.5,3.5,,4.0
1.5,1.5,,2.0
3.5,3.5,,3.0
2.0,2.0,,2.0
4.0,4.0,,3.0
2.0,2.0,,3.0
2.0,1.0,,3.0
3.0,2.0,,4.0
3.0,2.0,,4.0
2.5,2.0,,2.0
2.0,2.0,,1.0
4.0,4.0,,4.0
4.0,4.0,,4.0
2.5,3.0,,3.0
2.5,2.5,,2.0
4.0,4.0,,3.0
2.5,2.0,,3.0
2.6666666666666665,4.0,,3.0
1.0,1.0,,1.0
2.5,2.0,,4.0
4.0,4.0,,3.0
3.5,3.0,,3.0
3.0,3.0,,1.0
2.5,2.0,,3.0
3.0,3.0,,3.0
2.0,2.0,,3.0
4.0,4.0,,3.0
2.0,2.0,,2.0
3.0,2.0,,4.0
3.0,3.0,,3.0
3.0,3.0,,1.0
3.0,3.0,,4.0
4.0,4.0,,4.0
4.0,4.0,4.0,4.0
4.0,4.0,,3.0
4.0,4.0,4.0,4.0
2.0,2.0,,3.0
2.5,2.0,,4.0
3.5,3.5,,4.0
3.0,3.0,,3.0
3.0,3.0,,4.0
2.0,2.0,,3.0
4.0,4.0,4.0,4.0
4.0,4.0,,3.0
2.5,2.5,,3.0
2.0,2.0,,3.0
3.0,3.0,,2.0
2.0,2.0,,2.0
4.0,4.0,,4.0
3.5,4.0,,4.0
2.0,2.0,,2.0
4.0,4.0,,4.0
4.0,4.0,,2.0
3.0,3.0,,3.0
4.0,4.0,,3.0
2.0,2.0,,1.0
3.0,3.0,,2.0
4.0,4.0,,4.0
3.0,3.0,,3.0
1.5,1.5,,1.0
4.0,4.0,4.0,4.0
2.0,2.0,,2.0
2.5,2.5,,3.0
3.0,3.0,,2.0
1.5,1.5,,1.0
2.5,2.0,,2.0
2.5,2.0,,3.0
3.0,3.0,,3.0
2.5,2.5,,3.0
3.0,2.0,,4.0
3.0,2.0,,4.0
2.0,2.0,,3.0
2.0,2.0,,3.0
2.5,2.5,,3.0
4.0,4.0,,4.0
4.0,4.0,,3.0
3.0,3.0,,3.0
2.0,2.0,,3.0
4.0,4.0,,4.0
2.0,2.0,,3.0
4.0,4.0,,4.0
2.0,2.0,,4.0
4.0,3.0,,4.0
4.0,4.0,,4.0
2.0,2.0,,2.0
4.0,4.0,,4.0
4.0,4.0,,3.0
3.0,2.0,,4.0
2.5,2.5,,3.0
2.333333333333333,1.0,,4.0
2.0,2.0,,2.0
2.5,2.0,,2.0
2.0,2.0,,2.0
2.0,2.0,,2.0
3.0,3.0,,3.0
4.0,4.0,,4.0
2.5,2.5,,3.0
2.0,2.0,,2.0
3.0,3.0,,2.0
4.0,4.0,,4.0
